,lay-k,shapiro-r,forney-j,cash-m,delainey-d,watson-k,kean-s,skilling-j
access,1,0,1,3,3,2,18,4
business,14,0,1,29,68,27,128,11
california,1,0,0,1,4,7,88,0
capacity,0,0,2,0,5,11,16,0
cash,0,0,0,14,0,0,5,0
changes,0,0,0,4,8,1,12,0
company,15,0,3,12,15,3,89,10
cost,13,1,0,7,30,8,124,2
delainey,0,0,0,0,39,0,0,0
enron,20,1,1,26,41,4,164,20
future,5,0,0,4,7,1,11,6
interest,7,0,1,4,14,3,28,7
issue,9,0,4,10,29,9,85,2
ken,15,0,0,0,9,1,48,4
mark,2,0,0,3,1,2,5,1
market,6,0,1,3,25,2,65,2
opportunity,8,0,0,6,14,5,18,8
place,7,0,0,3,3,4,21,2
policy,7,1,0,3,0,0,26,0
power,13,2,1,3,41,11,182,7
president,1,0,0,2,3,1,20,2
process,6,2,0,11,10,5,29,4
project,1,0,0,7,26,12,25,6
report,4,0,1,10,13,9,19,2
service,14,0,2,12,34,10,70,7
system,2,0,1,3,3,5,20,0
team,6,0,0,7,36,8,40,6
utilities,1,0,0,0,11,1,43,0
value,1,0,1,3,19,5,14,3
